model,method_key,dataset,dataset_family,n_folds,positive_folds,tie_folds,negative_folds,all_folds_positive,all_folds_nonnegative,mixed_positive_negative
bag8,joint_freq_combined__sel_combined_intersection,houses,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,in_vehicle_coupon_recommendation,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,jm1,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,kddcup09_appetency,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,lending_club,real_shift,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,maternal_health_risk,TabArena_IID,3,2,1,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,miami_housing,TabArena_IID,3,0,0,3,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,online_shoppers_intention,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,physiochemical_protein,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,polish_companies_bankruptcy,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,qsar-biodeg,TabArena_IID,3,1,1,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,seismic-bumps,TabArena_IID,3,0,2,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,shifts_weather,real_shift,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,students_dropout_and_academic_success,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,superconductivity,TabArena_IID,3,0,0,3,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,synthetic_label_shift,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,synthetic_large_test,synthetic,1,0,1,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,synthetic_partial_shift,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,synthetic_shift_0.0,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,synthetic_shift_0.5,synthetic,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,synthetic_shift_1.0,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,synthetic_shift_3.0,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,synthetic_shift_5.0,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,synthetic_small_test,synthetic,1,0,1,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_cooking_time,TabReD,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_delivery_eta,TabReD,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_delivery_eta__gap_far,TabReD_gap,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_delivery_eta__gap_maxdiff,TabReD_gap,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_delivery_eta__gap_near,TabReD_gap,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_ecom_offers,TabReD,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_homesite,TabReD,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_homesite__gap_far,TabReD_gap,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_homesite__gap_near,TabReD_gap,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_sberbank,TabReD,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_sberbank__gap_far,TabReD_gap,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_sberbank__gap_near,TabReD_gap,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_weather,TabReD,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_weather__gap_far,TabReD_gap,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_weather__gap_maxdiff,TabReD_gap,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tabred_weather__gap_near,TabReD_gap,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,taiwanese_bankruptcy_prediction,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,tschalzev_mbgm,tschalzev_IID,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tschalzev_ogpcc,tschalzev_IID,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,tschalzev_sctp,tschalzev_IID,1,0,1,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,website_phishing,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,wine_quality,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_separate,Amazon_employee_access,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_separate,Another-Dataset-on-used-Fiat-500,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_separate,Bank_Customer_Churn,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_separate,Bioresponse,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_separate,Diabetes130US,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_separate,E-CommereShippingData,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_separate,Fitness_Club,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_separate,Food_Delivery_Time,TabArena_IID,3,0,0,3,False,False,False
bag8,joint_freq_separate,GiveMeSomeCredit,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_separate,HR_Analytics_Job_Change_of_Data_Scientists,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_separate,Is-this-a-good-customer,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_separate,MIC,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_separate,Marketing_Campaign,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_separate,QSAR-TID-11,TabArena_IID,3,0,3,0,False,True,False
