model,method_key,method_role,n_datasets_ranked,model_roster_datasets,coverage_pct,mean_normalized_rank,median_normalized_rank,mean_raw_rank,rank_points_sum_observed,tied_best_datasets,unique_best_datasets,rank_status,mean_lift_pct,median_lift_pct,win_rate_decided,reliable_positive_strict
bag8,tdda_v2_k5_lam07_nopfl_dw,test_time_variant,92,92,100.0,0.6680139537290113,0.838049336650083,94.54347826086956,8698.0,3,3,descriptive_coverage_normalized,-4.318477218634222,-2.8120174926195594,0.23255813953488372,False
bag8,nearest_test_k10_both,test_time_variant,92,92,100.0,0.6729520532062249,0.7328703703703704,95.47826086956522,8784.0,0,0,descriptive_coverage_normalized,-4.516300201539285,-0.8210511953317677,0.1511627906976744,False
bag8,nearest_test_rel_k10_cumshift_both,test_time_variant,92,92,100.0,0.6829724300439911,0.7708333333333333,96.68478260869566,8895.0,0,0,descriptive_coverage_normalized,-4.949732980538837,-1.1735882484816114,0.1511627906976744,False
bag8,ot_disp_v2_selective,test_time_variant,92,92,100.0,0.6850332018967304,0.8055555555555556,96.2336956521739,8853.5,5,0,descriptive_coverage_normalized,-7.714197239223311,-2.2240584203185785,0.1927710843373494,False
bag8,tdda_k5_lam06_aug1,test_time_variant,92,92,100.0,0.6926062136681898,0.8749932414165991,97.45108695652173,8965.5,1,1,descriptive_coverage_normalized,-4.316423476758709,-4.016125096508973,0.19767441860465115,False
bag8,ot_disp_v2_selective_and_summary,test_time_variant,92,92,100.0,0.6997408664033666,0.8315972222222223,98.32608695652173,9046.0,3,0,descriptive_coverage_normalized,-7.946762771161217,-2.203188999015417,0.18072289156626506,False
bag8,tdda_k5_lam08_aug1,test_time_variant,92,92,100.0,0.700344440082331,0.8815802253302254,98.7663043478261,9086.5,1,1,descriptive_coverage_normalized,-5.814924300445463,-5.679685413926794,0.19767441860465115,False
bag8,tdda_v2_k5_lam07_pfl_dw_cumshift,test_time_variant,92,92,100.0,0.7021078341954134,0.8819444444444444,99.47826086956522,9152.0,0,0,descriptive_coverage_normalized,-6.691780145995168,-4.421643058207316,0.22093023255813954,False
bag8,neighbor_consensus_k20_dist,test_time_variant,92,92,100.0,0.7027866546951929,0.8210627400768247,99.52173913043478,9156.0,1,1,descriptive_coverage_normalized,-5.749031293937196,-2.4165861574115763,0.16279069767441862,False
bag8,tdda_v2_k5_lam06_pfl_dw,test_time_variant,92,92,100.0,0.7029941319363521,0.8845687984496124,99.6195652173913,9165.0,0,0,descriptive_coverage_normalized,-6.7848938123189235,-4.934605725946469,0.20930232558139536,False
bag8,tdda_k5_lam07_aug1,test_time_variant,92,92,100.0,0.7031674544232582,0.8950441919191919,99.04347826086956,9112.0,1,0,descriptive_coverage_normalized,-5.223778444632954,-3.9590417389792503,0.1744186046511628,False
bag8,tdda_k10_lam07_aug1,test_time_variant,92,92,100.0,0.704104532448463,0.8914360300081103,99.17934782608695,9124.5,1,0,descriptive_coverage_normalized,-5.288271851875017,-3.9590417389792503,0.1744186046511628,False
bag8,tdda_v2_k10_lam07_pfl_dw,test_time_variant,92,92,100.0,0.7055967162658284,0.8732638888888888,99.96195652173913,9196.5,0,0,descriptive_coverage_normalized,-6.602756814838705,-3.9765751334983768,0.20930232558139536,False
bag8,tdda_v2_k5_lam07_pfl_nodw,test_time_variant,90,92,97.82608695652173,0.7095480602116009,0.8824006488240065,100.46111111111111,9041.5,0,0,descriptive_coverage_normalized,-6.426135230785052,-5.015329682619324,0.19047619047619047,False
bag8,tdda_v2_k5_lam07_pfl_dw,test_time_variant,91,92,98.91304347826087,0.7116327180393139,0.875,100.82967032967034,9175.5,0,0,descriptive_coverage_normalized,-6.666016104355192,-4.325906957933208,0.2,False
bag8,tdda_k5_lam07_aug1_cumshift,test_time_variant,92,92,100.0,0.7191343141045898,0.8885003885003885,101.40217391304348,9329.0,0,0,descriptive_coverage_normalized,-5.805333452067655,-5.517287407040938,0.19767441860465115,False
bag8,neighbor_consensus_k10_dist_cumshift,test_time_variant,92,92,100.0,0.7218690942103215,0.8518518518518519,102.28260869565217,9410.0,2,2,descriptive_coverage_normalized,-6.0518491578571485,-2.3988603638107864,0.18604651162790697,False
bag8,neighbor_consensus_k10_dist,test_time_variant,92,92,100.0,0.7243858038998748,0.8530092592592593,102.59782608695652,9439.0,0,0,descriptive_coverage_normalized,-6.546550871826095,-2.2023462734031582,0.16279069767441862,False
bag8,neighbor_consensus_k10_uniform,test_time_variant,92,92,100.0,0.7323763659814336,0.8349537037037037,103.70652173913044,9541.0,1,1,descriptive_coverage_normalized,-5.759259465226372,-2.2453989302496344,0.13953488372093023,False
bag8,neighbor_consensus_k5_dist,test_time_variant,92,92,100.0,0.743939334521352,0.8576388888888888,105.3586956521739,9693.0,1,1,descriptive_coverage_normalized,-6.608154415633121,-2.6611323834949427,0.13953488372093023,False
bag8,neighbor_consensus_k5_dist_cumshift,test_time_variant,92,92,100.0,0.749627371411397,0.875,106.17391304347827,9768.0,0,0,descriptive_coverage_normalized,-6.2147081448262105,-2.5096970388354114,0.13953488372093023,False
bag8,ot_displacement_no_mag,test_time_variant,92,92,100.0,0.7576141977701849,0.8576388888888888,106.69021739130434,9815.5,1,1,descriptive_coverage_normalized,-10.542169335115448,-2.681495495937493,0.13095238095238096,False
bag8,tdda_k5_lam07_aug2,test_time_variant,92,92,100.0,0.7708157002486982,0.9151596034426408,108.6195652173913,9993.0,1,1,descriptive_coverage_normalized,-7.353110021294204,-6.60553121206641,0.1511627906976744,False
bag8,ot_displacement_mag,test_time_variant,92,92,100.0,0.7721098006053526,0.8754562043795621,108.65760869565217,9996.5,0,0,descriptive_coverage_normalized,-10.797590023319836,-2.9183909761386495,0.09411764705882353,False
tabicl,freq_ratio_v2_both_gated,test_time_variant,55,55,100.0,0.22134790495583417,0.1935483870967742,30.054545454545455,1653.0,1,0,descriptive_coverage_normalized,-0.005850300389564522,0.0,0.5263157894736842,False
tabicl,freq_ratio_log__sel_combined_intersection,test_time_variant,55,55,100.0,0.23997243781320268,0.2,32.53636363636364,1789.5,2,2,descriptive_coverage_normalized,-0.13407164795223922,0.0356080293563631,0.5714285714285714,False
tabicl,joint_freq_combined__sel_combined_intersection,test_time_variant,55,55,100.0,0.24476309658356954,0.20634920634920634,33.20909090909091,1826.5,2,2,descriptive_coverage_normalized,-0.10219550262207282,0.0358941653064951,0.5714285714285714,False
tabicl,target_enc_ratio__sel_combined_intersection,test_time_variant,55,55,100.0,0.24950580532724126,0.2074074074074074,33.85454545454545,1862.0,2,2,descriptive_coverage_normalized,-0.5906738904210571,0.0491292779627656,0.5416666666666666,False
tabicl,freq_ratio_v2_diff_gated,test_time_variant,55,55,100.0,0.2507016459820294,0.25806451612903225,34.0,1870.0,1,0,descriptive_coverage_normalized,0.1521934078404946,0.0,0.47058823529411764,False
tabicl,freq_ratio_v2_ratio_gated,test_time_variant,55,55,100.0,0.25378355149214177,0.24444444444444444,34.45454545454545,1895.0,1,0,descriptive_coverage_normalized,0.14609986361804123,0.0,0.4166666666666667,False
tabicl,inductive_baseline,inductive_reference,55,55,100.0,0.2580982319094466,0.2261904761904762,35.027272727272724,1926.5,1,0,descriptive_coverage_normalized,0.0,0.0,,
tabicl,joint_scaling,test_time_variant,55,55,100.0,0.2680550491229789,0.2518518518518518,36.263636363636365,1994.5,1,0,descriptive_coverage_normalized,-0.016777380281275518,8.059812722474116e-06,0.6744186046511628,False
tabicl,train_only_scaling,train_only_version,55,55,100.0,0.2687417463653202,0.24444444444444444,36.372727272727275,2000.5,1,0,descriptive_coverage_normalized,-0.01986792927503038,0.0,0.5116279069767442,False
tabicl,freq_ratio_log,test_time_variant,55,55,100.0,0.28872639678240425,0.2740740740740741,38.981818181818184,2144.0,2,1,descriptive_coverage_normalized,-0.5506629079315241,-7.390524436963175e-06,0.4444444444444444,False
tabicl,joint_freq_separate,test_time_variant,55,55,100.0,0.2939390556540693,0.22962962962962963,39.472727272727276,2171.0,1,0,descriptive_coverage_normalized,-0.6203796103910378,0.0,0.47619047619047616,False
tabicl,joint_freq_separate__sel_combined_intersection,test_time_variant,55,55,100.0,0.2952520358836101,0.3148148148148148,39.90909090909091,2195.0,1,1,descriptive_coverage_normalized,-0.8505748094026438,-0.0971328505958375,0.40816326530612246,False
tabicl,freq_ratio_v2_ratio_ungated,test_time_variant,55,55,100.0,0.301555280656534,0.2804878048780488,40.69090909090909,2238.0,1,0,descriptive_coverage_normalized,-0.5879622897693549,-0.006943646376493,0.37777777777777777,False
tabicl,joint_freq_combined,test_time_variant,55,55,100.0,0.3032417370726073,0.27037037037037037,40.81818181818182,2245.0,2,1,descriptive_coverage_normalized,-0.6819842970883792,-1.961712106245915e-05,0.37777777777777777,False
tabicl,target_enc_standard_m20,train_only_version,55,55,100.0,0.30533866221954603,0.27037037037037037,41.163636363636364,2264.0,2,1,descriptive_coverage_normalized,-0.8769335583253313,-7.390524436963175e-06,0.4090909090909091,False
tabicl,joint_groupby_combined__sel_combined_intersection,test_time_variant,53,55,96.36363636363636,0.3054370468836072,0.3148148148148148,41.471698113207545,2198.0,0,0,descriptive_coverage_normalized,-1.343927161289942,-0.1595517981877728,0.3695652173913043,False
tabicl,target_enc_ratio_cap5,test_time_variant,55,55,100.0,0.3058257401772372,0.2851851851851852,41.21818181818182,2267.0,2,1,descriptive_coverage_normalized,-0.6927059815231297,0.0,0.4888888888888889,False
